,name,copy
33,株式会社レインオンファニー | ★WEB面接1回のみ！★年休120日以上 ★直請約70％,【ITエンジニア】働き方も多様化推進中！前給＋年70万円の高待遇 正社員
34,株式会社PGSホーム | 業績絶好調で11月に川崎支店・12月には久留米支店が新規出店！,残業＆休日出勤なしで稼げる！【アポインター営業】リサーチャー 正社員
35,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンク商材の【法人営業】未経験OK★学歴不問 正社員
36,株式会社ケイディアイ | 【東証一部上場のナックグループ】完休2日制・働きやすさ抜群,不動産用地・リノベマンションの【仕入企画営業】★年休120日超 正社員
37,株式会社松江電気商会 | 坂井市・福井市を中心に30年以上も電気のある生活に貢献！,電気に強い技術者としてどんどん稼ごう！【電気工事スタッフ】 正社員
38,東建コーポレーション株式会社 | 土地活用でおなじみの東建です。完全週休2日制で年間休日123日！,年齢／転職回数不問！1年目で年収650万円も◎【営業】※全国募集 正社員
39,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,【ITエンジニア(開発/インフラ) 】★年休123日＆残業月10h程度★ 正社員
40,株式会社NEXT STORIES | 大阪府緊急雇用対策に賛同◆WEB面接OK◆未経験から月収124万円可,【アフターフォロー営業】★未経験＆完全週休2日で月給30万円～ 正社員
41,株式会社トーウン | 【大阪府緊急雇用対策に賛同】定着率95％！希望の案件が選べる☆,★面接確約★【施工管理スタッフ】未経験でも月収30万可能 正社員
42,株式会社クロード | ★上場企業のグループ会社 ★サービス残業一切なし ★有給推奨,【店舗受付スタッフ】★完全週休2日制/月給24万円～/未経験歓迎 正社員
43,関西不動産販売株式会社 | 【16期連続増収増益】★年間ボーナス”1000万円”の支給実績あり,インセンティブで稼げる【不動産営業】★業界未経験でも25万円～ 正社員
44,大東建託株式会社 | ★大人気「営業職」の東海エリアで大募集！★,「平均年収1021万円」「男女OK」「未経験OK」の【不動産営業】 正社員
45,ECO信頼サービス株式会社 | 人生を充実させたい、稼ぎたいという情熱のある方を募集中！,【営業・販売】入社2年で年収4000万可能！◆沖縄限定／転勤なし 正社員
46,"株式会社ファミリー工房 | ★安心:""懇親会""で理解を深めた上、入社できる！",【総合職(リフォーム営業/不動産営業/施工管理/建築士)】 正社員
47,ECO信頼サービス株式会社 | 人生を充実させたい、稼ぎたいという情熱のある方を募集中！,【営業・販売】入社2年で年収4000万可能！◆熊本限定／転勤なし 正社員
48,積水ハウス不動産関西株式会社 | 【大阪府緊急雇用対策に賛同】※積水ハウスグループ,【不動産コンサルティング営業】月給30万円以上／年間休日129日 正社員
49,株式会社ライジングサンセキュリティーサービス | 【★面接保証！20～60代活躍中】★月給最大40万円も可能！,＼ひたちなか・水戸積極採用／【警備・受付】★未経験者歓迎★ 正社員
50,i-CREW株式会社 | 【入社2年目以降に年収800万超も可能】即日内定もOK！,大手空調メーカーの【メンテナンススタッフ】残業ほぼなし 正社員
51,ECO信頼サービス株式会社 | 人生を充実させたい、稼ぎたいという情熱のある方を募集中！,【営業・販売】入社2年で年収4000万可能！◆全国募集 正社員
52,株式会社ミュゼプラチナム | ★転勤なし★賞与年4回★ノルマなし★コスメ社割★WEB面接,【受付カウンセラー】原則定時退社★全国採用★29歳までの方限定 正社員
53,株式会社ブライトノア | 【ゲーム/AR/VRなどエンタメ案件も】★年休125日★残業20h以下,"今より""もっと""を叶えられる【ITエンジニア】★土日祝休み 正社員"
54,株式会社ライジングサンセキュリティーサービス | 【★未経験歓迎★入社祝金3万円あり】★面接1回,★埼玉募集★大型商業施設の【警備・交通誘導】※応募者全員面接 正社員
55,株式会社ライジングサンセキュリティーサービス | 人物重視★応募者全員と面接します！／20～60代活躍中★,福島限定【警備】人の力で東北エリアを盛り上げよう！*月給28万~ 正社員
56,DSP株式会社 | ★土日休み ★完全週休2日 ★年間休日125日～130日,◆経験者は前給UPを保証！【人材コーディネーター】※高卒以上 正社員
57,株式会社山王 | 無理なくステップアップできる ＆ 20代30代が活躍中の成長企業,販売ではなく商品説明を行う【営業スタッフ】※ノルマもなし！ 正社員
58,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,工場内でモクモク働く【機械操作スタッフ】★月収30万円以上可能 正社員
59,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,自宅から通勤したい！そんな希望も叶う♪【倉庫内作業スタッフ】 正社員
60,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,基本17時退社★平均月給43.4万円【法人営業】※社会人経験者限定 正社員
61,DSP株式会社 | 初年度年収450万円以上可/年休125日~130日/産休育休制度(実績有),【総合職(営業/広報/人事/総務など)】やりたいことが見つかる♪ 正社員
62,株式会社アースインフィニティ | 【大阪府緊急雇用対策に賛同】エネルギー事業を展開する成長企業,＜10/16 JASDAQ上場決定！＞新電力会社の【法人営業】※未経験OK 正社員
63,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,【サービスフロント(受付事務)】★未経験OK★高卒以上★全国募集 正社員
64,"株式会社ビッグモーター | No.1企業の安定性☆月給23万9,800円~☆残業ほぼなし☆土日休み可",未経験からはじめる【フロントスタッフ(受付・事務)】*学歴不問 正社員
65,株式会社ホリコシ産業 | 業績好調の安定企業｜お客様に愛される仕事｜転勤なしで安心,＜専門知識不要＞地域密着企業で“稼げる営業”になれる【営業】 正社員
66,クオリア・コンサルティング株式会社 | ★有休消化率100％ ★賞与年4回 ★未経験から平均月収60万円★,事業者向けに経費削減サービスの【提案営業】※営業経験不問！ 正社員
67,JAGフィールド株式会社 | 東証一部上場G・キャリアチェンジで生涯現役！オンライン面接可,【施工管理】従業員満足度業界No.1企業で活躍する！ 正社員
68,株式会社ヒカリッチアソシエイツ | 有休消化率100％★店長へ最短6ヶ月の実績★面接は1回★転勤なし,【総合職（店長候補）】メディアで話題★未経験でも月給30万～！ 正社員
